X	Y	tpi
-58.483644	-10.638153	-0.439543205
-53.583552	-10.176910	-0.419250945
-48.683523	-9.603934	-0.394294957
-43.783494	-8.892888	-0.363679547
-38.883484	-8.011094	-0.326197907
-33.983420	-6.917441	-0.280355875
-29.083366	-5.559077	-0.224237578
-24.183318	-3.865402	-0.155238857
-19.283278	-1.736365	-0.069510559
-14.383248	0.983701	0.039358207
-9.483238	4.577175	0.184125623
-5.569970	8.497228	0.346798995
-2.790147	12.417304	0.519783420
-0.969421	16.337317	0.712189528
-0.073454	20.257338	0.944652840
-0.303423	24.177369	1.313552140
